EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
124684 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives offshore) ","Oil Production, Conventional Oil ",Fugitives (Offshore) ,Developed country ,,,0.00000059 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124685 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives offshore) ","Oil Production, Conventional Oil ",Fugitives (Offshore) ,Developed country ,,,0.000000043 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124686 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives offshore) ","Oil Production, Conventional Oil ",Fugitives (Offshore) ,Developed country ,,,0.00000074 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124690 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (conventional oil, flaring) ","Oil Production, Conventional Oil ",Flaring ,Developed country ,,,0.000025 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124691 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (conventional oil, flaring) ","Oil Production, Conventional Oil ",Flaring ,Developed country ,,,0.041 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124692 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (conventional oil, flaring) ","Oil Production, Conventional Oil ",Flaring ,Developed country ,,,0.000021 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124693 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NITROUS OXIDE,2006 IPCC default ,"Nitrous oxide emission factor for fugitive emissions from oil operations - Oil production (conventional oil, flaring) ","Oil Production, Conventional Oil ",Flaring ,Developed country ,,,0.00000064 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124694 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, fugitives) ","Oil Production, Heavy Oil/Cold Bitumen ",Fugitives ,Developed country ,,,0.0079 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124695 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, fugitives) ","Oil Production, Heavy Oil/Cold Bitumen ",Fugitives ,Developed country ,,,0.00054 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124696 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, fugitives) ","Oil Production, Heavy Oil/Cold Bitumen ",Fugitives ,Developed country ,,,0.0029 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124700 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, flaring) ","Oil Production, Heavy Oil/Cold Bitumen ",Flaring ,Developed country ,,,0.00014 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124701 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, flaring) ","Oil Production, Heavy Oil/Cold Bitumen ",Flaring ,Developed country ,,,0.022 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124702 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, flaring) ","Oil Production, Heavy Oil/Cold Bitumen ",Flaring ,Developed country ,,,0.000011 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124703 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NITROUS OXIDE,2006 IPCC default ,"Nitrous oxide emission factor for fugitive emissions from oil operations - Oil production (heavy oil/cold bitumen, flaring) ","Oil Production, Heavy Oil/Cold Bitumen ",Flaring ,Developed country ,,,0.00000046 ,Gg per 10^3 m^3 heavy oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124704 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (thermal oil production, fugitives) ","Oil Production, Thermal Oil Production ",Fugitives ,Developed country ,,,0.00018 ,Gg per 10^3 m^3 thermal bitumen production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124705 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (thermal oil production, fugitives) ","Oil Production, Thermal Oil Production ",Fugitives ,Developed country ,,,0.000029 ,Gg per 10^3 m^3 thermal bitumen production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124706 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (thermal oil production, fugitives) ","Oil Production, Thermal Oil Production ",Fugitives ,Developed country ,,,0.00023 ,Gg per 10^3 m^3 thermal bitumen production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124710 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (thermal oil production, flaring) ","Oil Production, Thermal Oil Production ",Flaring ,Developed country ,,,0.000016 ,Gg per 10^3 m^3 thermal bitumen production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124711 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (thermal oil production, flaring) ","Oil Production, Thermal Oil Production ",Flaring ,Developed country ,,,0.027 ,Gg per 10^3 m^3 thermal bitumen production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
